listing_id,date
1585456,2013-09-28
1585456,2013-10-01
1585456,2013-10-06
1585456,2013-10-22
1585456,2013-11-06
1585456,2013-12-08
1585456,2014-01-09
1585456,2014-01-26
1585456,2014-02-11
1585456,2014-03-04
1585456,2014-03-26
1585456,2014-08-20
1585456,2014-08-28
1585456,2014-09-28
1585456,2015-06-01
1585456,2015-06-09
1585456,2015-08-02
1585456,2015-08-24
1585456,2015-08-29
1585456,2015-09-03
1585456,2015-09-05
1585456,2015-09-26
1585456,2015-09-30
1585456,2015-10-03
1585456,2015-11-01
1585456,2015-11-11
1585456,2015-11-16
1585456,2015-11-19
1585456,2015-11-25
1585456,2015-11-27
1585456,2015-12-01
1585456,2015-12-09
1585456,2015-12-13
1585456,2015-12-18
1585456,2016-01-09
1585456,2016-01-11
1585456,2016-01-25
1585456,2016-02-11
1585456,2016-02-22
1585456,2016-03-01
1585456,2016-03-08
1585456,2016-03-11
1585456,2016-03-13
1585456,2016-03-20
1585456,2016-03-31
1585456,2016-04-04
1585456,2016-04-09
1585456,2016-04-17
1585456,2016-05-02
1585456,2016-05-15
1585456,2016-05-18
1302016,2015-08-11
12541540,2016-04-22
362325,2012-07-13
362325,2012-07-26
362325,2012-07-27
7693781,2015-08-10
7693781,2015-08-12
8289432,2015-10-10
8289432,2015-12-30
8289432,2016-01-03
8289432,2016-01-24
8289432,2016-03-23
8289432,2016-04-10
3723104,2014-09-04
3723104,2014-09-08
3723104,2014-09-12
3723104,2014-09-23
3723104,2014-10-17
3723104,2014-10-28
3723104,2014-11-05
3723104,2015-05-30
3723104,2015-07-08
3723104,2015-07-15
3723104,2015-08-01
3723104,2015-09-04
3723104,2015-10-03
3723104,2016-03-13
3723104,2016-04-27
6896242,2015-08-18
7643709,2015-08-10
7643709,2015-08-19
1224679,2013-11-01
1224679,2014-02-01
1224679,2014-03-03
1224679,2014-04-12
1224679,2014-05-20
1224679,2014-07-13
1224679,2015-02-02
1224679,2015-07-01
1224679,2016-05-01
4706195,2015-08-05
12417925,2016-05-08
12417925,2016-05-15
12417925,2016-05-21
12417925,2016-05-24
7642371,2016-05-19
7211233,2015-08-24
7211233,2015-09-08
7211233,2016-01-02
7667663,2016-05-17
7667663,2016-05-22
230611,2012-10-17
230611,2013-12-28
230611,2014-05-24
230611,2014-09-24
230611,2014-09-28
230611,2015-08-08
230611,2015-12-18
12532646,2016-04-30
12532646,2016-05-16
8059426,2015-09-02
8059426,2016-03-13
8059426,2016-05-23
8746826,2016-04-07
4542894,2014-11-17
4542894,2016-05-16
1217113,2014-02-01
1217113,2014-07-25
1217113,2014-08-04
1217113,2014-08-11
1217113,2014-08-15
1217113,2014-08-22
1217113,2014-08-25
1217113,2014-08-30
1217113,2014-09-01
1217113,2014-09-18
1217113,2014-09-21
1217113,2014-09-26
1217113,2014-09-29
1217113,2014-10-07
1217113,2014-10-15
1217113,2014-10-21
1217113,2014-10-27
1217113,2014-11-06
1217113,2014-11-26
1217113,2014-12-13
1217113,2015-01-04
1217113,2015-03-18
1217113,2015-03-23
1217113,2015-03-29
1217113,2015-04-05
1217113,2015-04-06
1217113,2015-04-12
1217113,2015-05-02
1217113,2015-05-05
1217113,2015-05-12
1217113,2015-05-26
1217113,2015-06-05
1217113,2015-06-12
1217113,2015-06-18
1217113,2015-06-23
1217113,2015-06-30
1217113,2015-07-04
1217113,2015-07-15
1217113,2015-07-18
1217113,2015-07-20
1217113,2015-07-23
1217113,2015-08-05
1217113,2015-08-13
1217113,2015-08-29
1217113,2015-09-03
1217113,2015-09-07
1217113,2015-09-29
1217113,2015-10-02
1217113,2015-12-04
1217113,2016-01-05
1217113,2016-01-19
1217113,2016-01-26
1217113,2016-02-05
1217113,2016-02-11
1217113,2016-02-17
1217113,2016-02-19
1217113,2016-02-22
1217113,2016-02-27
1217113,2016-03-05
1217113,2016-03-09
1217113,2016-03-11
1217113,2016-03-18
1217113,2016-03-22
1217113,2016-04-19
1217113,2016-04-24
1217113,2016-05-09
6463219,2015-06-15
6463219,2015-07-01
6463219,2015-07-08
6463219,2015-07-09
6463219,2015-07-12
6463219,2015-07-16
6463219,2015-07-19
6463219,2015-07-21
6463219,2015-07-24
6463219,2015-07-28
6463219,2015-08-01
6463219,2015-08-09
6463219,2015-08-17
6463219,2015-09-09
6463219,2015-09-13
6463219,2015-09-20
6463219,2015-09-28
6463219,2015-10-01
6463219,2015-10-16
6463219,2015-11-09
6463219,2015-11-23
6463219,2015-12-06
6463219,2016-01-02
6463219,2016-01-07
6463219,2016-02-28
6463219,2016-03-14
6463219,2016-03-27
6463219,2016-04-05
6463219,2016-04-11
6463219,2016-04-14
6463219,2016-04-15
6463219,2016-04-25
6463219,2016-04-27
6463219,2016-05-05
6463219,2016-05-08
6463219,2016-05-16
3287539,2014-08-11
3287539,2014-08-24
3287539,2015-09-11
11845132,2016-05-17
7735838,2015-08-25
7735838,2015-10-03
7735838,2015-10-09
7735838,2015-10-13
7735838,2016-04-11
7735838,2016-05-17
2733424,2014-05-28
2733424,2014-08-16
2733424,2014-10-25
2733424,2014-12-21
2733424,2014-12-29
2733424,2015-04-10
2733424,2015-06-01
2733424,2015-08-25
2733424,2015-09-11
2733424,2015-09-14
2733424,2015-09-26
896103,2013-06-18
896103,2013-06-19
896103,2013-07-03
896103,2013-07-22
896103,2013-07-26
896103,2013-07-29
896103,2013-08-14
896103,2013-08-17
896103,2013-08-30
896103,2013-09-03
896103,2013-09-06
896103,2013-10-18
896103,2013-10-21
896103,2013-11-12
896103,2013-11-25
896103,2013-12-28
896103,2013-12-30
896103,2014-01-14
896103,2014-02-18
896103,2014-02-25
896103,2014-02-28
896103,2014-04-22
896103,2014-05-06
896103,2014-05-13
896103,2014-05-25
896103,2014-05-30
896103,2014-06-02
896103,2014-06-20
896103,2014-08-26
896103,2014-09-10
896103,2014-09-13
896103,2014-09-18
896103,2014-09-25
896103,2014-09-26
896103,2014-09-27
896103,2014-10-03
896103,2014-10-08
896103,2014-10-20
896103,2014-11-18
896103,2014-12-04
896103,2014-12-08
896103,2014-12-29
896103,2015-01-04
896103,2015-02-04
896103,2015-02-10
896103,2015-04-06
896103,2015-05-24
896103,2015-05-27
896103,2015-06-03
896103,2015-08-01
896103,2015-08-04
896103,2015-08-08
896103,2015-08-13
896103,2015-08-18
896103,2015-08-23
896103,2015-10-08
896103,2015-12-27
896103,2016-03-29
896103,2016-04-11
896103,2016-04-14
896103,2016-04-17
