listing_id,date
2342500,2015-07-22
2342500,2015-07-27
2342500,2015-08-02
2342500,2015-08-05
2342500,2015-08-10
2342500,2015-08-16
2342500,2015-08-22
2342500,2015-08-26
2342500,2015-10-11
2342500,2015-11-09
8386451,2015-10-19
8386451,2015-10-27
8386451,2015-12-11
8386451,2016-01-01
8386451,2016-03-29
4784859,2015-06-02
4784859,2015-07-15
4784859,2015-07-19
4784859,2015-07-26
4784859,2015-08-14
4784859,2015-08-27
4784859,2015-09-28
4784859,2015-10-08
4784859,2015-10-16
4784859,2015-10-24
4784859,2015-10-30
4784859,2016-01-02
4784859,2016-03-26
4784859,2016-04-02
175534,2011-08-11
175534,2011-09-28
175534,2012-01-07
175534,2012-07-08
175534,2012-08-01
175534,2013-01-07
175534,2013-10-15
175534,2014-03-13
175534,2014-04-08
175534,2014-05-05
175534,2014-07-17
175534,2014-08-06
175534,2014-08-14
175534,2014-09-06
175534,2014-12-06
175534,2015-01-04
175534,2015-04-01
175534,2015-06-23
175534,2015-07-31
175534,2016-01-05
7925956,2015-09-26
7925956,2016-03-28
2321725,2014-03-03
2321725,2014-03-11
2321725,2014-09-28
2321725,2014-10-07
2321725,2016-02-18
6351378,2015-05-17
6351378,2015-05-25
6351378,2015-06-07
6351378,2015-08-02
6351378,2015-08-22
6351378,2015-08-31
6351378,2015-09-30
6351378,2015-10-05
6351378,2015-11-01
6351378,2015-11-29
6351378,2016-01-02
6351378,2016-02-21
6351378,2016-03-10
7861432,2015-08-30
32976,2011-05-27
32976,2011-07-08
32976,2013-10-21
32976,2013-11-12
32976,2013-12-10
32976,2014-02-18
32976,2014-02-26
32976,2014-03-29
32976,2014-05-12
32976,2014-06-03
32976,2014-06-17
32976,2014-07-19
32976,2014-08-22
32976,2014-09-23
32976,2014-09-29
32976,2014-10-16
32976,2014-10-26
32976,2014-11-30
32976,2015-01-26
32976,2015-02-22
32976,2015-02-28
32976,2015-05-30
32976,2015-06-03
32976,2015-06-11
32976,2015-06-15
32976,2015-08-10
32976,2015-09-08
32976,2015-09-25
32976,2015-10-15
32976,2015-10-30
32976,2015-11-11
32976,2015-11-15
32976,2015-11-19
32976,2015-12-09
32976,2016-01-06
32976,2016-01-31
32976,2016-02-06
32976,2016-02-21
32976,2016-02-29
32976,2016-03-09
32976,2016-03-20
7193211,2015-07-26
7573649,2015-08-03
7573649,2015-08-22
7573649,2015-08-26
7573649,2015-09-02
7573649,2015-09-06
7573649,2015-09-08
7573649,2015-09-12
7573649,2015-09-20
7573649,2015-09-25
7573649,2015-09-28
7573649,2015-10-10
7573649,2015-10-12
7573649,2015-10-17
7573649,2015-10-24
7573649,2015-10-26
7573649,2015-11-06
7573649,2015-11-29
7573649,2015-12-11
7573649,2015-12-14
7573649,2015-12-16
7573649,2015-12-30
7573649,2016-01-11
7573649,2016-01-19
7573649,2016-01-29
7573649,2016-03-17
7573649,2016-03-20
7573649,2016-03-24
5586019,2016-03-11
9277391,2015-11-15
9277391,2015-12-01
9277391,2016-01-09
9277391,2016-02-08
9277391,2016-02-14
9277391,2016-02-17
9277391,2016-03-13
9277391,2016-03-24
5927878,2015-05-06
5927878,2015-08-04
5927878,2015-08-17
5927878,2016-02-25
3805369,2014-09-08
3805369,2015-09-15
1340466,2015-12-01
1340466,2015-12-28
1340466,2016-01-03
3514754,2014-10-05
3514754,2014-10-12
3514754,2014-10-12
3514754,2015-08-14
9355118,2015-12-01
4965127,2015-02-09
4965127,2015-02-21
4965127,2015-03-17
4965127,2015-04-04
